system_number,dG_red,Solvent,Charge_gn,Charge_rd,UHF_gn,UHF_rd,SMILES_1,NumAtoms_1
242,1.86,water,3,2,0,3,O.O.O.O.O.O.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],19
312,0.72,acetonitrile,1,0,1,0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ir],61
205,-0.4,water,3,2,0,1,C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],49
305,0.84,water,3,2,1,0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Os],61
216,0.13,dichloromethane,1,0,1,0,B.B.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.N.N.N.N.N.N.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],53
272,0.68,water,3,2,0,3,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.O.O.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],51
280,0.16,water,-1,-2,1,2,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O.S.S.S.S.[HH].[HH].[HH].[HH].[HH].[HH].[Ni],31
248,-0.88,dichloromethane,-3,-4,4,5,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.Cl.S.S.S.S.S.S.[Mn],37
295,-1.57,dmf,1,0,0,1,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[Fe].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],41
198,-0.32,acetonitrile,1,0,2,5,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Mn],51
267,0.35,water,-1,-2,0,3,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.O.O.O.O.O.O.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],43
231,-1.12,water,-2,-3,0,1,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.O.O.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ti],55
309,2.42,acetonitrile,1,0,1,0,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[SiH4],35
218,1.21,dichloromethane,1,0,1,2,B.B.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.N.N.N.N.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[Ni],53
271,0.2,water,0,-1,0,3,C.C.C.C.C.C.N.N.N.O.O.O.O.O.O.[Co].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],28
