system_number,dG_red,Solvent,Charge_gn,Charge_rd,UHF_gn,UHF_rd,SMILES_1,NumAtoms_1,mol
71,0.88,acetonitrile,1,0,1,0,c1ccc(N2CCOCC2)cc1,25,<rdkit.Chem.rdchem.Mol object at 0x7f7bf8cefe40>
87,2.02,acetonitrile,1,0,1,0,,28,<rdkit.Chem.rdchem.Mol object at 0x7f7bf8ca1350>
110,-1.46,acetonitrile,0,-1,0,1,O=C(CBr)c1ccccc1,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc9595040>
121,-1.94,acetonitrile,0,-1,0,1,Cc1ccccc1C=O,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc95eaf90>
141,-2.33,acetonitrile,0,-1,0,1,O=C1CCCCC1,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc95950b0>
170,-1.01,acetonitrile,0,-1,0,1,O=C(OC(=O)c1ccccc1)c1ccccc1,27,<rdkit.Chem.rdchem.Mol object at 0x7f7bc90a2cf0>
171,-0.98,acetonitrile,0,-1,0,1,O=C1C=CC(=O)O1,9,<rdkit.Chem.rdchem.Mol object at 0x7f7bc90a2d60>
163,-1.72,acetonitrile,0,-1,0,1,COC(=O)c1ccc(C#N)cc1,19,<rdkit.Chem.rdchem.Mol object at 0x7f7bc90a2dd0>
79,1.16,acetonitrile,1,0,1,0,Sc1ccc(S)cc1,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc90a2e40>
81,1.33,acetonitrile,1,0,1,0,Sc1ccc2ccccc2c1,19,<rdkit.Chem.rdchem.Mol object at 0x7f7bc90a2eb0>
89,0.91,acetonitrile,1,0,1,0,COc1ccc2cc[nH]c2c1,20,<rdkit.Chem.rdchem.Mol object at 0x7f7bc90a2f20>
7,2.27,acetonitrile,1,0,1,0,C#Cc1ccccc1,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc90a2f90>
14,1.48,acetonitrile,1,0,1,0,CC=Cc1ccccc1OC,23,<rdkit.Chem.rdchem.Mol object at 0x7f7bc90a2c80>
37,1.97,acetonitrile,1,0,1,0,C=Cc1ccccc1,16,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac0b0>
49,1.41,acetonitrile,1,0,1,0,COc1ccccc1O,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac120>
107,-1.95,acetonitrile,0,-1,0,1,Brc1ccc(I)cc1,12,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac190>
166,-1.45,acetonitrile,0,-1,0,1,Cc1cc(C)c(S(=O)(=O)Cl)c(C)c1,24,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac200>
90,0.95,acetonitrile,1,0,1,0,Nc1nccs1,10,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac270>
105,-1.93,acetonitrile,0,-1,0,1,ClC(Cl)(Cl)Cl,5,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac2e0>
168,-1.34,acetonitrile,0,-1,0,1,O=C1OC(=O)c2ccccc21,15,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac350>
185,-0.28,acetonitrile,0,-1,0,1,F[B-](F)(F)F.c1ccc(-c2cc(-c3ccccc3)[o+]c(-c3ccccc3)c2)cc1,46,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac3c0>
126,-1.66,acetonitrile,0,-1,0,1,O=Cc1ccc(C(F)(F)F)cc1,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac4a0>
145,-1.91,acetonitrile,0,-1,0,1,CC(=O)c1ccc(Cl)cc1,17,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac510>
165,-1.64,acetonitrile,0,-1,0,1,N#Cc1ccc(C#N)cc1,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac580>
77,1.28,acetonitrile,1,0,1,0,C1CCC2=NCCCN2CC1,27,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac5f0>
142,-2.16,acetonitrile,0,-1,0,1,CC(=O)c1ccc(C)cc1,20,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac660>
150,-0.93,acetonitrile,0,-1,0,1,CC(=O)c1ccc([N+](=O)[O-])cc1,19,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac6d0>
75,0.95,acetonitrile,1,0,1,0,Nc1ccccc1,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac740>
191,-0.29,acetonitrile,-1,-2,0,1,,20,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac040>
72,0.89,acetonitrile,1,0,1,0,C1CCNC1,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac820>
100,1.74,acetonitrile,1,0,1,0,c1ccc2occc2c1,15,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac890>
22,1.66,acetonitrile,1,0,1,0,CC=Cc1cccc(C=CC)c1,26,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac900>
118,2.61,acetonitrile,1,0,1,0,Clc1ccccc1,12,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac970>
114,2.1,acetonitrile,1,0,1,0,Brc1ccc(I)cc1,12,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aac9e0>
55,1.32,acetonitrile,1,0,1,0,COc1ccc2ccccc2c1,22,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aaca50>
30,1.75,acetonitrile,1,0,1,0,CC1=CCCC1,16,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aacac0>
129,1.95,acetonitrile,1,0,1,0,O=Cc1ccc(O)cc1,15,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aacb30>
111,-1.23,acetonitrile,0,-1,0,1,O=[N+]([O-])c1ccc(F)cc1,14,<rdkit.Chem.rdchem.Mol object at 0x7f7bc8aacba0>
