system_number,dG_red,Solvent,Charge_gn,Charge_rd,UHF_gn,UHF_rd,SMILES_1,NumAtoms_1
49,1.41,acetonitrile,1,0,1,0,COc1ccccc1O,17,
181,-1.1,acetonitrile,0,-1,0,1,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12,37,
52,1.69,acetonitrile,1,0,1,0,Oc1ccc(Br)cc1,13,
27,1.73,acetonitrile,1,0,1,0,CC=Cc1ccc(Cl)cc1,19,
139,1.67,acetonitrile,1,0,1,0,C(=Nc1ccccc1)c1ccccc1,25,
20,1.64,acetonitrile,1,0,1,0,CC=Cc1ccccc1C=CC,26,
107,-1.95,acetonitrile,0,-1,0,1,Brc1ccc(I)cc1,12,
82,1.44,acetonitrile,1,0,1,0,Cc1cccc(C)c1S,19,
190,0.13,acetonitrile,0,-1,0,1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,20,
101,1.94,acetonitrile,1,0,1,0,c1ccoc1,9,
172,-0.51,acetonitrile,0,-1,0,1,O=[N+]([O-])c1ccccc1S(=O)(=O)Cl,17,
125,-1.72,acetonitrile,0,-1,0,1,O=Cc1ccc(-c2ccccc2)cc1,24,
162,-1.9,acetonitrile,0,-1,0,1,N#Cc1cccc(C#N)c1,14,
123,-1.85,acetonitrile,0,-1,0,1,O=Cc1ccc(Cl)cc1,14,
182,-0.86,acetonitrile,-2,-3,0,1,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2cc([O-])c(I)cc12,35,
96,1.15,acetonitrile,1,0,1,0,c1c[nH]cn1,9,
4,2.07,acetonitrile,1,0,1,0,Cc1cc(C)cc(C)c1,21,
53,2.08,acetonitrile,1,0,1,0,N#Cc1ccc(O)cc1,14,
44,2.5,acetonitrile,1,0,1,0,C=C(C)CCC,18,
191,-0.29,acetonitrile,-1,-2,0,1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,20,
