system_number,dG_red,Solvent,Charge_gn,Charge_rd,UHF_gn,UHF_rd,SMILES_1,NumAtoms_1,Formal_SMILES
49,1.41,acetonitrile,1,0,1,0,idk,17,CC=Cc1ccc2c(c1)OCO2
181,-1.1,acetonitrile,0,-1,0,1,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12,37,
52,1.69,acetonitrile,1,0,1,0,idk,13,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
27,1.73,acetonitrile,1,0,1,0,CC=Cc1ccc(Cl)cc1,19,
139,1.67,acetonitrile,1,0,1,0,idk,25,COc1cccc(N=Cc2ccccc2)c1
20,1.64,acetonitrile,1,0,1,0,CC=Cc1ccccc1C=CC,26,
107,-1.95,acetonitrile,0,-1,0,1,Brc1ccc(I)cc1,12,
82,1.44,acetonitrile,1,0,1,0,Cc1cccc(C)c1S,19,
190,0.13,acetonitrile,0,-1,0,1,N#CC(C#N)=c1ccc(=C(C#N)C#N)cc1,20,
101,1.94,acetonitrile,1,0,1,0,idk,9,COc1cccc(N=Cc2ccccc2)c1
172,-0.51,acetonitrile,0,-1,0,1,O=[N+]([O-])c1ccccc1S(=O)(=O)Cl,17,
125,-1.72,acetonitrile,0,-1,0,1,idk,24,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
162,-1.9,acetonitrile,0,-1,0,1,N#Cc1cccc(C#N)c1,14,
123,-1.85,acetonitrile,0,-1,0,1,idk,14,CC(=O)c1ccc(Cl)cc1
182,-0.86,acetonitrile,-2,-3,0,1,idk,35,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
96,1.15,acetonitrile,1,0,1,0,idk,9,S=c1[nH]c2ccccc2[nH]1
4,2.07,acetonitrile,1,0,1,0,Cc1cc(C)cc(C)c1,21,
53,2.08,acetonitrile,1,0,1,0,N#Cc1ccc(O)cc1,14,
44,2.5,acetonitrile,1,0,1,0,idk,18,CC1=CCCCC1
191,-0.29,acetonitrile,-1,-2,0,1,idk,20,
30,1.75,acetonitrile,1,0,1,0,idk,16,c1ccc2ccccc2c1
73,0.92,acetonitrile,1,0,1,0,idk,24,C(=NN(c1ccccc1)c1ccccc1)c1ccccc1
47,1.35,acetonitrile,1,0,1,0,idk,22,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
132,-1.91,acetonitrile,0,-1,0,1,idk,25,COc1cccc(N=Cc2ccccc2)c1
111,-1.23,acetonitrile,0,-1,0,1,O=[N+]([O-])c1ccc(F)cc1,14,
51,1.63,acetonitrile,1,0,1,0,idk,13,COc1cccc(N=Cc2ccccc2)c1
138,1.64,acetonitrile,1,0,1,0,Fc1ccc(N=Cc2ccccc2)cc1,25,
185,-0.28,acetonitrile,0,-1,0,1,idk,46,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
154,1.47,acetonitrile,1,0,1,0,idk,66,C(=NN(c1ccccc1)c1ccccc1)c1ccccc1
186,-1.92,dmf,0,-1,0,1,idk,24,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
66,0.74,acetonitrile,1,0,1,0,idk,20,c1ccc(N2CCOCC2)cc1
46,1.17,acetonitrile,1,0,1,0,COc1ccc(O)cc1,17,
48,1.4,acetonitrile,1,0,1,0,idk,19,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
55,1.32,acetonitrile,1,0,1,0,idk,22,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
135,0.97,acetonitrile,1,0,1,0,C(=NN(c1ccccc1)c1ccccc1)c1ccccc1,37,
146,-1.91,acetonitrile,0,-1,0,1,idk,27,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
86,1.56,acetonitrile,1,0,1,0,idk,24,COc1ccc(SSc2ccc(OC)cc2)cc1
149,-1.74,acetonitrile,0,-1,0,1,CC(=O)c1ccc(C(F)(F)F)cc1,20,
113,-0.62,acetonitrile,0,-1,0,1,CCOC(=O)C(Br)C(=O)OCC,23,
35,1.94,acetonitrile,1,0,1,0,CC=Cc1ccccc1Cl,19,
7,2.27,acetonitrile,1,0,1,0,idk,14,C#Cc1ccc(OC)cc1
45,1.14,acetonitrile,1,0,1,0,Oc1ccc(O)cc1,14,
88,0.81,acetonitrile,1,0,1,0,S=c1[nH]c2ccccc2[nH]1,16,
15,1.54,acetonitrile,1,0,1,0,C=C(c1ccccc1)c1ccccc1,26,
25,1.71,acetonitrile,1,0,1,0,CC=Cc1ccc(F)cc1,19,
102,2.14,acetonitrile,1,0,1,0,idk,17,C(=NN(c1ccccc1)c1ccccc1)c1ccccc1
98,1.62,acetonitrile,1,0,1,0,idk,15,Sc1ccc2ccccc2c1
29,1.75,acetonitrile,1,0,1,0,CC=Cc1ccc(Br)cc1,19,
79,1.16,acetonitrile,1,0,1,0,Sc1ccc(S)cc1,14,
177,1.01,acetonitrile,1,0,1,0,idk,54,C1CCC2=NCCCN2CC1
81,1.33,acetonitrile,1,0,1,0,Sc1ccc2ccccc2c1,19,
64,0.48,acetonitrile,1,0,1,0,idk,16,S=c1[nH]c2ccccc2[nH]1
126,-1.66,acetonitrile,0,-1,0,1,idk,17,CC(=O)c1ccc(C(F)(F)F)cc1
141,-2.33,acetonitrile,0,-1,0,1,idk,17,O=C(OC(=O)c1ccccc1)c1ccccc1
24,1.7,acetonitrile,1,0,1,0,idk,22,CC=Cc1ccc(C)cc1
137,1.52,acetonitrile,1,0,1,0,COc1cccc(N=Cc2ccccc2)c1,29,
160,-2.29,acetonitrile,0,-1,0,1,idk,15,O=C(OC(=O)c1ccccc1)c1ccccc1
12,1.43,acetonitrile,1,0,1,0,CC=Cc1ccc(C=CC)cc1,26,
108,-1.92,acetonitrile,0,-1,0,1,idk,8,Clc1ccc(I)cc1
39,1.98,acetonitrile,1,0,1,0,idk,15,CC1=CCCCC1
120,-2.24,acetonitrile,0,-1,0,1,idk,16,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
9,1.15,acetonitrile,1,0,1,0,idk,22,CC=Cc1ccc(C(C)(C)C)cc1
124,-1.73,acetonitrile,0,-1,0,1,idk,20,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
14,1.48,acetonitrile,1,0,1,0,CC=Cc1ccccc1OC,23,
115,2.15,acetonitrile,1,0,1,0,Clc1ccc(I)cc1,12,
183,-0.59,acetonitrile,0,-1,0,1,idk,82,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
28,1.74,acetonitrile,1,0,1,0,idk,19,CC=Cc1ccc(C)cc1
89,0.91,acetonitrile,1,0,1,0,COc1ccc2cc[nH]c2c1,20,
37,1.97,acetonitrile,1,0,1,0,idk,16,CC=Cc1ccc(C)cc1
56,1.43,acetonitrile,1,0,1,0,COc1ccccc1OC,20,
151,2.66,acetonitrile,1,0,1,0,idk,23,O=C(O)c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c(O)c(Br)cc12
104,-2.48,acetonitrile,0,-1,0,1,idk,5,Brc1ccc(I)cc1
122,-1.93,acetonitrile,0,-1,0,1,idk,14,O=C(OC(=O)c1ccccc1)c1ccccc1
140,1.86,acetonitrile,1,0,1,0,ON=Cc1ccccc1,16,
61,1.88,acetonitrile,1,0,1,0,idk,23,O=C(OC(=O)c1ccccc1)c1ccccc1
42,2.32,acetonitrile,1,0,1,0,idk,13,c1ccc2ccccc2c1
33,1.92,acetonitrile,1,0,1,0,CC=Cc1cccc(Br)c1,19,
155,1.55,acetonitrile,1,0,1,0,CN1CCCN(C)C1=O,21,
40,2.1,acetonitrile,1,0,1,0,CC(C)=CCO,16,
58,1.5,acetonitrile,1,0,1,0,idk,20,CC(C)Oc1cccc(OC(C)C)c1
158,-2.43,acetonitrile,0,-1,0,1,idk,13,N#Cc1ccc(O)cc1
180,-0.26,acetonitrile,0,-1,0,1,idk,26,
36,1.94,acetonitrile,1,0,1,0,idk,19,c1ccc2ccccc2c1
77,1.28,acetonitrile,1,0,1,0,C1CCC2=NCCCN2CC1,27,
118,2.61,acetonitrile,1,0,1,0,idk,12,Clc1ccc(I)cc1
168,-1.34,acetonitrile,0,-1,0,1,idk,15,O=C(OC(=O)c1ccccc1)c1ccccc1
184,-0.32,acetonitrile,1,0,0,1,idk,38,C(=NN(c1ccccc1)c1ccccc1)c1ccccc1
76,1.09,acetonitrile,1,0,1,0,idk,22,C(=NN(c1ccccc1)c1ccccc1)c1ccccc1
114,2.1,acetonitrile,1,0,1,0,Brc1ccc(I)cc1,12,
147,-1.89,acetonitrile,0,-1,0,1,CC(=O)c1ccc(Br)cc1,17,
169,-1.2,acetonitrile,0,-1,0,1,O=C(Cl)c1ccccc1,14,
57,1.47,acetonitrile,1,0,1,0,CC(C)Oc1cccc(OC(C)C)c1,32,
157,2.58,acetonitrile,1,0,1,0,idk,16,CC(=O)c1ccc([N+](=O)[O-])cc1
5,2.22,acetonitrile,1,0,1,0,idk,18,c1ccc2ccccc2c1
71,0.88,acetonitrile,1,0,1,0,c1ccc(N2CCOCC2)cc1,25,
153,1.4,acetonitrile,1,0,1,0,idk,73,C(=NN(c1ccccc1)c1ccccc1)c1ccccc1
87,2.02,acetonitrile,1,0,1,0,idk,28,COc1ccc(SSc2ccc(OC)cc2)cc1
187,-1.36,dmf,0,-1,0,1,c1ccc(N=Nc2ccccc2)cc1,24,
11,1.24,acetonitrile,1,0,1,0,idk,23,CC=Cc1ccc2c(c1)OCO2
164,-1.7,acetonitrile,0,-1,0,1,N#Cc1ccccc1C#N,14,
176,0.71,acetonitrile,1,0,1,0,idk,54,C1CCC2=NCCCN2CC1
