Family,System,NumAtoms,SMILES,charge_gn,E_gn,G_gn,E_ox,G_ox,E_rd,G_rd,dG_red,dG_ox
2c,03,35,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-861.367098331,-861.132207,-861.09443867,-860.860387,-861.415401089,-861.183181,-0.9157579999999965,1.136604000000034
2a,06,21,Br.C.C.C.C.C.C.C.C.C.C.C.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-3147.24295773,-3147.131136,-3146.90951488,-3146.800103,-3147.32042676,-3147.210774,-0.9444220000001591,1.1958169999998063
2b,00,29,C.C.C.C.C.C.C.C.C.C.C.C.C.C.O.O.O.O.O.O.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH],-1,-1461.72089906,-1461.57133,-1461.55136884,-1461.404473,-1461.69957363,-1461.55344,-0.8468939999999205,1.031641000000036
4b,11,30,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-758.454933515,-758.262018,-757.827504123,-757.639013,-758.81296482,-758.623278,-1.2260440000000157,1.4877890000000207
4b,00,40,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-731.337407667,-731.032784,-730.759117813,-730.460909,-731.644352811,-731.343406,-1.1754059999999666,1.4366589999999633
3c,09,36,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-765.974512779,-765.706319,-765.411371104,-765.151118,-766.304692033,-766.039878,-1.1983430000000366,1.419984999999997
2d,08,31,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.O.O.O.O.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1231.54575575,-1231.386953,-1231.23347638,-1231.078255,-1231.63958022,-1231.483126,-0.9609570000001353,1.1734820000001491
2c,00,38,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-900.649554154,-900.389798,-900.379746025,-900.121143,-900.69622375,-900.438425,-0.9134110000000104,1.1334390000000667
4b,05,42,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-881.68048599,-881.364563,-881.121825017,-880.813282,-881.98654118,-881.674094,-1.1743149999999927,1.4160650000000032
2d,04,18,C.C.C.C.C.C.C.C.N.N.N.O.O.[HH].[HH].[HH].[HH].[HH],0,-622.053443783,-621.964242,-621.763966568,-621.677002,-622.147305913,-622.05849,-0.9590319999999932,1.152023999999983
4d,00,22,C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-571.140597019,-571.003161,-570.842172712,-570.707885,-571.150385219,-571.02003,-0.8816530000000424,1.1600599999999304
3c,16,27,C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-648.126863455,-647.937393,-647.502412225,-647.317399,-648.473804251,-648.2876,-1.2149909999999549,1.4847780000000057
3f,08,34,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-727.67146377,-727.417502,-727.079173238,-726.829224,-728.001096011,-727.75047,-1.197751999999937,1.4530620000000454
1b,02,35,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1259.2134122,-1258.988243,-1258.96213069,-1258.73855,-1259.2380724,-1259.018968,-0.8955090000000749,1.114477000000079
4a,04,38,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-763.387125148,-763.097661,-762.87267313,-762.589126,-763.69785384,-763.41307,-1.1801929999999314,1.3733190000000377
4c,06,25,C.C.C.C.C.C.C.C.C.C.C.N.N.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],1,-609.748992832,-609.583358,-609.339939499,-609.176007,-609.941550198,-609.780784,-1.062210000000064,1.2721349999999347
4a,01,30,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-758.451568926,-758.258895,-757.823388699,-757.63556,-758.802643101,-758.613428,-1.2193169999999467,1.4881189999999833
3f,07,31,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-688.390843236,-688.165198,-687.799766422,-687.577508,-688.737019083,-688.513592,-1.2131779999999848,1.452474000000052
2c,10,29,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-782.793980963,-782.610557,-782.509815209,-782.326982,-782.847355208,-782.66631,-0.9205369999999815,1.148358999999914
3f,06,28,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-649.13039579,-648.930724,-648.528296804,-648.332379,-649.470611803,-649.274444,-1.208503999999962,1.4631290000000945
3e,00,38,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-730.102763247,-729.813426,-729.495149331,-729.211363,-730.414637801,-730.125921,-1.177278999999899,1.4668470000000298
3d,04,33,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-726.691924981,-726.448265,-726.115551556,-725.877249,-726.998800102,-726.760657,-1.1771760000000453,1.435799999999972
4b,03,34,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-652.747223726,-652.498003,-652.145567744,-651.897914,-653.056590718,-652.806152,-1.1729329999999576,1.4648730000000114
1a,05,23,Br.C.C.C.C.C.C.C.C.C.C.C.C.N.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-3488.36348791,-3488.233712,-3488.11936786,-3487.989368,-3488.36658432,-3488.244495,-0.8755669999997193,1.1091280000000552
4d,02,30,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-650.341077663,-650.125241,-649.748874733,-649.537613,-650.667017109,-650.455621,-1.195163999999991,1.4524119999999812
3b,02,34,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-802.602057902,-802.365579,-802.05612869,-801.822789,-802.935383927,-802.702866,-1.2020709999999466,1.4075740000000678
4b,09,54,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-1114.49568161,-1114.095448,-1114.00693554,-1113.611921,-1114.7970855,-1114.401812,-1.1711480000000305,1.3483110000001943
4b,06,44,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-957.826387091,-957.509446,-957.290187171,-956.977357,-958.136819913,-957.823243,-1.1785810000000223,1.3968730000000278
3c,14,29,C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-612.245191959,-612.032786,-611.633970285,-611.427059,-612.583811542,-612.374439,-1.2064370000000648,1.4705109999999877
1a,10,27,C.C.C.C.C.C.C.C.C.C.C.C.C.N.O.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1029.54567042,-1029.373456,-1029.31453109,-1029.141933,-1029.52168018,-1029.358302,-0.8496300000000614,1.0963070000000243
3c,02,38,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-730.124265542,-729.83609,-729.547831781,-729.266078,-730.442360708,-730.156475,-1.1851689999999875,1.4347960000000057
3c,07,30,C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-687.411147696,-687.195505,-686.832401421,-686.622237,-687.741787386,-687.530007,-1.1992859999999295,1.4380519999999706
2a,10,24,C.C.C.C.C.C.C.C.C.C.C.C.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-613.271368322,-613.121458,-612.945252261,-612.798726,-613.335306509,-613.186739,-0.9300650000000272,1.1875159999999596
4a,11,50,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-1220.19305517,-1219.852503,-1219.68929891,-1219.353196,-1220.52268424,-1220.184963,-1.1972439999998554,1.364091000000144
3c,01,32,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-651.541950228,-651.307312,-650.932907209,-650.702434,-651.873227973,-651.639525,-1.1969970000000243,1.4696619999999712
4a,07,38,C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.O.O.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-879.245380571,-878.979226,-878.701551706,-878.440847,-879.565310369,-879.304655,-1.1902129999999855,1.4031630000000632
1a,09,23,C.C.C.C.C.C.C.C.C.C.C.C.I.N.S.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],0,-1212.22424281,-1212.095697,-1211.98108819,-1211.852383,-1212.24168806,-1212.119789,-0.8888760000001097,1.1080980000001546
3c,13,32,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-651.526065497,-651.286671,-650.920696749,-650.687268,-651.861769048,-651.625407,-1.20352000000004,1.4641869999999244
4b,01,34,C.C.C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-652.75931298,-652.504949,-652.156691349,-651.909689,-653.077615662,-652.827007,-1.18684199999997,1.460044000000039
3f,10,28,C.C.C.C.C.C.C.C.C.C.C.C.N.N.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH],2,-574.157417682,-573.956684,-573.530759294,-573.333412,-574.489184159,-574.289431,-1.1975310000000403,1.4880560000000287
